Classes;Total;Homens;Mulheres;Total_URB;Homens_URB;Mulheres_URB;Total_RUR;Homens_RUR;Mulheres_RUR
5 e 6 anos (1);6725;3470;3256;5384;2771;2614;1341;699;642
7 anos (1);3367;1707;1660;2689;1372;1316;678;334;344
8 e 9 anos (1);6927;3511;3416;5512;2799;2713;1415;712;703
10 a 14 anos (1);17216;8799;8416;13645;6931;6713;3571;1868;1703
15 a 19 anos (1);17754;8968;8786;14407;7183;7224;3347;1786;1562
20 a 24 anos (1);17338;8678;8660;14624;7225;7398;2715;1453;1262
25 a 29 anos (1);15483;7531;7952;13172;6328;6844;2310;1203;1107
30 a 39 anos (1);27049;12996;14053;22914;10871;12044;4134;2125;2009
40 a 49 anos (1);23384;11138;12246;19922;9304;10618;3462;1834;1628
50 a 59 anos (1);16416;7744;8671;13769;6371;7398;2647;1374;1273
60 anos ou mais (1);18214;7988;10226;15134;6370;8763;3080;1618;1463
Idade ignorada (1);62;36;26;55;30;24;8;6;1
