Classes;Total;Homens;Mulheres;Total_URB;Homens_URB;Mulheres_URB;Total_RUR;Homens_RUR;Mulheres_RUR
5 e 6 anos;1789;888;901;1592;797;795;197;91;106
7 anos;2402;1179;1222;2049;1018;1031;353;162;191
8 e 9 anos;6025;2988;3038;5013;2508;2505;1012;480;532
10 a 14 anos;16636;8395;8241;13330;6712;6618;3306;1683;1623
15 a 19 anos;17345;8682;8663;14177;7027;7150;3168;1655;1513
20 a 24 anos;16742;8287;8455;14294;7016;7278;2448;1271;1177
25 a 29 anos;14597;6987;7610;12683;6035;6648;1914;952;962
30 a 39 anos;24958;11796;13162;21704;10197;11507;3254;1599;1655
40 a 49 anos;20866;9828;11038;18371;8551;9820;2495;1277;1218
50 a 59 anos;13581;6433;7148;11991;5617;6374;1590;817;773
60 anos ou mais;12553;5685;6868;11144;4896;6247;1410;789;621
Idade ignorada;52;30;22;45;24;21;7;6;1
