Classes;Total;Homens;Mulheres;Total_URB;Homens_URB;Mulheres_URB;Total_RUR;Homens_RUR;Mulheres_RUR
5 ou 6 anos;3308;1694;1615;2641;1349;1292;667;345;322
7 anos;562;308;254;387;206;181;174;102;72
8 ou 9 anos;431;257;174;262;163;99;169;94;75
10 a 14 anos;250;164;86;166;109;57;83;55;29
15 a 19 anos;142;97;46;92;63;29;51;34;16
20 a 24 anos;200;140;60;125;83;42;75;57;18
25 a 29 anos;296;185;112;170;100;70;126;84;42
30 a 39 anos;1274;790;484;692;401;291;582;389;193
40 a 49 anos;1975;1151;824;1130;625;505;845;526;319
50 a 59 anos;2422;1223;1199;1479;697;782;942;526;416
60 anos ou mais;6556;2818;3738;4488;1728;2760;2068;1090;978
