Classes;Total;Homens;Mulheres;Total_URB;Homens_URB;Mulheres_URB;Total_RUR;Homens_RUR;Mulheres_RUR
5 ou 6 anos;5432;2759;2672;4493;2275;2217;939;484;455
7 anos;2868;1471;1397;2340;1203;1137;528;268;260
8 ou 9 anos;5962;3058;2904;4847;2485;2363;1115;574;541
10 a 14 anos;15864;8103;7761;12841;6537;6304;3023;1566;1457
15 a 19 anos;17479;8911;8568;14523;7304;7219;2956;1607;1349
20 a 24 anos;15591;7955;7636;13518;6835;6683;2073;1121;953
25 a 29 anos;15276;7526;7749;13181;6477;6704;2095;1050;1045
30 a 39 anos;32039;15463;16576;27587;13154;14432;4452;2308;2144
40 a 49 anos;28144;13473;14670;24115;11352;12763;4029;2121;1908
50 a 59 anos;23891;11112;12779;20472;9325;11147;3419;1787;1632
60 anos ou mais;29374;12945;16429;24750;10530;14220;4624;2415;2209
