Classes;Total;Homens;Mulheres;Total_URB;Homens_URB;Mulheres_URB;Total_RUR;Homens_RUR;Mulheres_RUR
5 ou 6 anos;2123;1065;1058;1852;927;925;272;139;133
7 anos;2306;1163;1143;1952;997;956;354;166;187
8 ou 9 anos;5531;2801;2729;4585;2322;2263;946;480;466
10 a 14 anos;15615;7940;7675;12675;6428;6247;2940;1512;1428
15 a 19 anos;17337;8814;8522;14431;7242;7190;2906;1573;1333
20 a 24 anos;15390;7815;7575;13392;6752;6641;1998;1064;934
25 a 29 anos;14979;7341;7638;13011;6376;6635;1968;965;1003
30 a 39 anos;30765;14673;16092;26895;12753;14142;3870;1920;1951
40 a 49 anos;26169;12322;13846;22985;10727;12258;3184;1595;1589
50 a 59 anos;21469;9889;11580;18993;8628;10365;2476;1261;1215
60 anos ou mais;22818;10127;12691;20262;8802;11459;2556;1325;1231
