Classes;Total;Homens;Mulheres;Total_URB;Homens_URB;Mulheres_URB;Total_RUR;Homens_RUR;Mulheres_RUR
5 e 6 anos;4937;2581;2355;3792;1973;1819;1144;608;536
7 anos;965;527;438;639;355;285;326;172;153
8 e 9 anos;902;524;378;499;292;207;403;232;171
10 a 14 anos;579;404;175;314;219;95;265;185;80
15 a 19 anos;407;285;123;228;154;74;180;131;49
20 a 24 anos;595;389;205;328;208;120;267;182;85
25 a 29 anos;886;544;342;489;293;196;396;251;146
30 a 39 anos;2089;1199;890;1209;673;536;880;526;354
40 a 49 anos;2518;1309;1209;1551;753;798;967;556;411
50 a 59 anos;2833;1311;1522;1776;754;1022;1057;557;500
60 anos ou mais;5658;2302;3356;3987;1473;2515;1671;829;842
Idade ignorada;9;5;4;8;4;3;1;0;1
