Classes;Total;Homens;Mulheres;Total_URB;Homens_URB;Mulheres_URB;Total_RUR;Homens_RUR;Mulheres_RUR
0 a 4 anos;12941;6630;6312;10901;5580;5321;2041;1050;991
5 a 9 anos;14262;7289;6973;11680;5963;5717;2582;1326;1256
10 a 14 anos;15864;8103;7761;12841;6537;6304;3023;1566;1457
15 a 19 anos;17479;8911;8568;14523;7304;7219;2956;1607;1349
20 a 24 anos;15591;7955;7636;13518;6835;6683;2073;1121;953
25 a 29 anos;15276;7526;7749;13181;6477;6704;2095;1050;1045
30 a 34 anos;16281;7899;8382;14087;6757;7330;2194;1142;1052
35 a 39 anos;15758;7564;8194;13500;6398;7102;2258;1166;1092
40 a 44 anos;14536;6981;7555;12500;5919;6581;2036;1062;974
45 a 49 anos;13607;6492;7115;11614;5433;6182;1993;1059;934
50 a 54 anos;12988;6073;6915;11131;5112;6019;1857;961;897
55 a 59 anos;10902;5039;5864;9341;4213;5128;1561;826;735
60 a 64 anos;9163;4127;5036;7761;3410;4350;1402;716;686
65 a 69 anos;7204;3267;3937;6089;2663;3426;1115;604;511
70 anos ou mais;13007;5551;7456;10900;4456;6443;2108;1095;1012
