Classes;Total_10_anos;Homens_10_anos;Mulheres_10_anos;Total_media_10_anos;Homens_media_10_anos;Mulheres_media_10_anos
Até 1/2 salário mínimo;12047;3109;8938;199;223;191
Mais de 1/2 a 1 salário mínimo;31671;14202;17468;718;715;722
Mais de 1 a 2 salários mínimos;42692;22549;20143;1152;1166;1136
Mais de 2 a 3 salários mínimos;15105;9537;5568;1923;1924;1922
Mais de 3 a 5 salários mínimos;10797;6789;4009;2950;2948;2954
Mais de 5 a 10 salários mínimos;6956;4319;2638;5162;5172;5145
Mais de 10 a 20 salários mínimos;2407;1607;800;10479;10532;10371
Mais de 20 salários mínimos;708;526;182;24477;24641;24001
Sem rendimento (2);37472;13640;23831;;;
Sem declaração;1937;1108;829;;;
