Classes;Total_10_anos;Homens_10_anos;Mulheres_10_anos;Total_media_10_anos;Homens_media_10_anos;Mulheres_media_10_anos
Até 1/2 salário mínimo;3755;1466;2290;78;91;69
Mais de 1/2 a 1 salário mínimo;5522;3359;2163;271;264;281
Mais de 1 a 2 salários mínimos;3924;2759;1164;449;452;443
Mais de 2 a 3 salários mínimos;990;770;220;749;752;741
Mais de 3 a 5 salários mínimos;590;483;107;1167;1170;1153
Mais de 5 a 10 salários mínimos;286;246;41;2118;2126;2072
Mais de 10 a 20 salários mínimos;65;58;7;4263;4264;4251
Mais de 20 salários mínimos;37;34;3;9826;9870;9245
Sem rendimento (2);9973;3985;5988;;;
Sem declaração;134;106;28;;;
