Classes;Total_10_anos;Homens_10_anos;Mulheres_10_anos;Total_media_10_anos;Homens_media_10_anos;Mulheres_media_10_anos
Até 1/2 salário mínimo;7891;1680;6211;200;229;192
Mais de 1/2 a 1 salário mínimo;24918;10464;14454;721;723;720
Mais de 1 a 2 salários mínimos;37988;19517;18471;1152;1171;1133
Mais de 2 a 3 salários mínimos;14012;8725;5287;1924;1925;1923
Mais de 3 a 5 salários mínimos;10206;6320;3886;2951;2949;2956
Mais de 5 a 10 salários mínimos;6711;4126;2585;5165;5174;5151
Mais de 10 a 20 salários mínimos;2354;1560;794;10481;10535;10373
Mais de 20 salários mínimos;688;510;178;24506;24714;23912
Sem rendimento (2);31664;11123;20541;;;
Sem declaração;1712;952;760;;;
